% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
9514 +1.141360206e+02 +1.141360206e+02 +2.074360206e+02 +2.074360206e+02 +2.3521e+00 -1.9227e+00 -1.4763e+00 -1.1537e+00 +1.7229e-01 +2.5409e-01 -2.9256e+00 +1.8221e+00 -2.0443e+00 -7.8763e-01 -6.0376e-01 +1.6084e+00 +5.0225e-01 +4.8794e-01 -2.8436e-01 -3.1817e+00 +9.2502e-02 -7.5170e-02 -6.1190e-01 -1.1490e+00
9525 +1.121791039e+02 +1.121791039e+02 +2.054791039e+02 +2.054791039e+02 +2.3499e+00 -1.9222e+00 -1.4764e+00 -1.1550e+00 +1.6906e-01 +2.5442e-01 -2.9232e+00 +1.8216e+00 -2.0478e+00 -7.8572e-01 -5.9937e-01 +1.6078e+00 +5.0474e-01 +4.8688e-01 -2.8537e-01 -3.1830e+00 +9.3457e-02 -7.5937e-02 -6.0741e-01 -1.1531e+00
9552 +1.096058554e+02 +1.096058554e+02 +2.029058554e+02 +2.029058554e+02 +2.3538e+00 -1.9243e+00 -1.4796e+00 -1.1519e+00 +1.7015e-01 +2.5633e-01 -2.9156e+00 +1.8115e+00 -2.0505e+00 -7.9060e-01 -6.0445e-01 +1.6147e+00 +5.0726e-01 +4.9051e-01 -2.9034e-01 -3.1891e+00 +9.3748e-02 -7.6388e-02 -6.0179e-01 -1.1612e+00
9671 +1.057250254e+02 +1.057250254e+02 +1.990250254e+02 +1.990250254e+02 +2.3492e+00 -1.9279e+00 -1.4801e+00 -1.1603e+00 +1.5659e-01 +2.6126e-01 -2.9095e+00 +1.8051e+00 -2.0422e+00 -7.8122e-01 -6.0182e-01 +1.6092e+00 +5.0198e-01 +4.8934e-01 -2.9591e-01 -3.1773e+00 +9.6277e-02 -6.6609e-02 -6.0561e-01 -1.1522e+00
9733 +1.046151072e+02 +1.046151072e+02 +1.979151072e+02 +1.979151072e+02 +2.3463e+00 -1.9264e+00 -1.4746e+00 -1.1541e+00 +1.6029e-01 +2.5933e-01 -2.9047e+00 +1.8091e+00 -2.0386e+00 -7.8393e-01 -6.0848e-01 +1.6023e+00 +5.0434e-01 +4.8446e-01 -2.8902e-01 -3.1851e+00 +9.9996e-02 -6.8012e-02 -6.0088e-01 -1.1554e+00
9855 +1.022554903e+02 +1.022554903e+02 +1.955554903e+02 +1.955554903e+02 +2.3434e+00 -1.9231e+00 -1.4761e+00 -1.1562e+00 +1.5516e-01 +2.5926e-01 -2.8997e+00 +1.8008e+00 -2.0467e+00 -7.8439e-01 -6.1847e-01 +1.6006e+00 +5.1167e-01 +4.8117e-01 -2.9225e-01 -3.1861e+00 +1.0408e-01 -7.6487e-02 -6.0473e-01 -1.1539e+00
9951 +9.947907912e+01 +9.947907912e+01 +1.927790791e+02 +1.927790791e+02 +2.3409e+00 -1.9283e+00 -1.4783e+00 -1.1574e+00 +1.4737e-01 +2.6079e-01 -2.8935e+00 +1.8051e+00 -2.0393e+00 -7.7930e-01 -6.2790e-01 +1.6024e+00 +5.1174e-01 +4.7894e-01 -2.9095e-01 -3.1841e+00 +1.1165e-01 -7.5801e-02 -6.0413e-01 -1.1569e+00
10186 +9.736914169e+01 +9.736914169e+01 +1.906691417e+02 +1.906691417e+02 +2.3361e+00 -1.9324e+00 -1.4784e+00 -1.1603e+00 +1.4104e-01 +2.5155e-01 -2.8925e+00 +1.7993e+00 -2.0390e+00 -7.7756e-01 -6.2754e-01 +1.6057e+00 +5.0099e-01 +4.7819e-01 -2.8749e-01 -3.1836e+00 +1.1525e-01 -7.6097e-02 -5.9742e-01 -1.1577e+00
10463 +9.547122317e+01 +9.547122317e+01 +1.887712232e+02 +1.887712232e+02 +2.3278e+00 -1.9316e+00 -1.4805e+00 -1.1563e+00 +1.3407e-01 +2.4850e-01 -2.8883e+00 +1.8053e+00 -2.0380e+00 -7.7099e-01 -6.2867e-01 +1.6103e+00 +4.9928e-01 +4.8174e-01 -2.8796e-01 -3.1875e+00 +1.1572e-01 -7.9963e-02 -5.9652e-01 -1.1656e+00
10678 +9.327662608e+01 +9.327662608e+01 +1.865766261e+02 +1.865766261e+02 +2.3223e+00 -1.9345e+00 -1.4869e+00 -1.1497e+00 +1.1703e-01 +2.4256e-01 -2.8892e+00 +1.8017e+00 -2.0300e+00 -7.7067e-01 -6.3640e-01 +1.6175e+00 +4.9624e-01 +4.7627e-01 -2.8385e-01 -3.1909e+00 +1.2272e-01 -8.2640e-02 -5.8431e-01 -1.1829e+00
10949 +9.120098300e+01 +9.120098300e+01 +1.845009830e+02 +1.845009830e+02 +2.3319e+00 -1.9407e+00 -1.4891e+00 -1.1464e+00 +1.1269e-01 +2.3663e-01 -2.8883e+00 +1.7992e+00 -2.0331e+00 -7.6904e-01 -6.3940e-01 +1.6173e+00 +5.0036e-01 +4.7475e-01 -2.7919e-01 -3.1893e+00 +1.2435e-01 -8.1349e-02 -5.7684e-01 -1.1979e+00
% function evaluation | noise-free fitness - Fopt (1.364000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.271130175e+02 +3.271130175e+02 +3.407530175e+02 +3.407530175e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
