% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
23 +2.198111781e+01 +2.198111781e+01 +1.826211178e+02 +1.826211178e+02 -1.2912e+00 +3.4310e+00
25 +2.018994350e+01 +2.018994350e+01 +1.808299435e+02 +1.808299435e+02 +9.4986e-02 +3.4715e+00
28 +8.497482868e+00 +8.497482868e+00 +1.691374829e+02 +1.691374829e+02 -1.2361e+00 +4.7739e+00
32 +7.577536838e+00 +7.577536838e+00 +1.682175368e+02 +1.682175368e+02 -2.5775e+00 +5.4960e+00
33 +5.471187255e+00 +5.471187255e+00 +1.661111873e+02 +1.661111873e+02 -4.7119e-01 +5.0172e+00
39 +5.010413464e+00 +5.010413464e+00 +1.656504135e+02 +1.656504135e+02 -1.0413e-02 +5.3793e+00
49 +4.478321410e+00 +4.478321410e+00 +1.651183214e+02 +1.651183214e+02 +5.2168e-01 +7.3000e+00
52 +4.154214467e+00 +4.154214467e+00 +1.647942145e+02 +1.647942145e+02 +8.4579e-01 +8.2215e+00
59 +3.983739103e+00 +3.983739103e+00 +1.646237391e+02 +1.646237391e+02 +1.0163e+00 +9.8119e+00
64 +2.652577146e+00 +2.652577146e+00 +1.632925771e+02 +1.632925771e+02 +2.3474e+00 +1.2325e+01
73 +1.918937408e+00 +1.918937408e+00 +1.625589374e+02 +1.625589374e+02 +3.0811e+00 +1.6815e+01
79 +0.000000000e+00 +0.000000000e+00 +1.606400000e+02 +1.606400000e+02 +5.0345e+00 +1.0851e+01
% function evaluation | noise-free fitness - Fopt (-1.003600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.500000000e+01 +5.500000000e+01 -4.536000000e+01 -4.536000000e+01 +0.0000e+00 +0.0000e+00
2 +4.677620685e+01 +4.677620685e+01 -5.358379315e+01 -5.358379315e+01 +5.7080e-01 -8.7946e-01
4 +4.650677701e+01 +4.650677701e+01 -5.385322299e+01 -5.385322299e+01 -1.1160e-01 -8.3816e-01
8 +3.967518020e+01 +3.967518020e+01 -6.068481980e+01 -6.068481980e+01 -1.7188e-01 -1.5153e+00
12 +3.204203430e+01 +3.204203430e+01 -6.831796570e+01 -6.831796570e+01 -1.1101e-02 -2.2947e+00
13 +3.157937864e+01 +3.157937864e+01 -6.878062136e+01 -6.878062136e+01 -2.9846e+00 -2.0436e+00
17 +2.401801431e+01 +2.401801431e+01 -7.634198569e+01 -7.634198569e+01 -3.1102e-01 -3.0671e+00
25 +4.474580564e+00 +4.474580564e+00 -9.588541944e+01 -9.588541944e+01 -5.2542e-01 -5.3387e+00
32 +4.116241750e+00 +4.116241750e+00 -9.624375825e+01 -9.624375825e+01 -8.8376e-01 -9.1223e+00
38 +3.783676097e+00 +3.783676097e+00 -9.657632390e+01 -9.657632390e+01 -1.2163e+00 -5.0220e+00
39 +3.472829438e+00 +3.472829438e+00 -9.688717056e+01 -9.688717056e+01 -1.5272e+00 -7.1562e+00
40 +3.151008593e+00 +3.151008593e+00 -9.720899141e+01 -9.720899141e+01 -1.8490e+00 -6.2913e+00
47 +2.571771447e+00 +2.571771447e+00 -9.778822855e+01 -9.778822855e+01 -2.4282e+00 -1.4399e+01
49 +3.310025940e-01 +3.310025940e-01 -1.000289974e+02 -1.000289974e+02 -4.6690e+00 -6.0135e+00
58 +0.000000000e+00 +0.000000000e+00 -1.003600000e+02 -1.003600000e+02 -7.8058e+00 -8.4004e+00
